,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_174,0,0,0,0,23,25,147,37,86,0,0,0,0,0,0,181,125,0,59,0,0,0,0,0,0,0,83
ASV_175,18,0,0,0,0,0,0,0,212,356,54,78,0,0,0,0,0,0,7,0,0,0,0,0,0,38,0
ASV_176,0,0,0,64,48,83,11,0,0,0,0,68,218,0,0,120,93,19,0,25,0,0,0,0,0,9,0
ASV_177,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,693,0,0,0,0,0,0,0
ASV_178,0,0,0,0,0,0,73,71,95,0,0,0,0,0,0,57,71,117,18,0,0,0,0,0,138,62,48
ASV_179,0,26,0,0,0,0,52,39,55,0,0,0,0,0,0,34,97,31,70,0,0,0,0,0,55,150,137
ASV_180,0,0,0,0,0,0,0,0,0,43,76,0,0,0,0,0,0,0,0,9,618,0,0,0,0,0,0
ASV_181,0,0,0,0,0,26,42,55,30,0,0,0,13,0,0,36,60,57,0,0,0,0,18,0,100,221,86
ASV_182,281,30,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,209,193,0,0,0,0,0,0
ASV_183,0,0,0,0,0,0,0,0,0,693,0,20,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4
ASV_184,0,0,0,0,3,0,0,84,31,0,0,0,0,0,0,9,13,30,61,0,0,0,0,0,67,339,95
ASV_185,0,0,0,0,0,0,60,72,79,0,0,0,0,0,0,57,34,56,33,0,0,0,0,0,124,157,58
ASV_186,7,0,22,0,0,0,9,11,30,391,0,38,82,64,73,0,0,0,0,0,0,0,0,0,0,0,0
ASV_187,0,0,0,0,13,0,85,98,106,0,0,0,0,0,0,21,63,60,41,0,0,0,33,0,50,81,76
ASV_188,0,45,0,0,0,0,21,126,76,0,0,0,0,0,0,18,57,52,81,7,0,0,0,0,0,137,106
ASV_189,0,41,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,207,0,0,0,0,0,0
ASV_190,92,238,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,178,136,34,0,0,0,0,21,8
ASV_191,0,25,0,0,0,0,0,0,0,128,161,38,0,0,0,0,0,0,27,0,338,0,0,0,0,0,0
ASV_192,0,0,2,0,157,190,0,0,0,0,13,0,0,0,0,162,186,0,0,0,0,0,0,0,0,0,0
ASV_193,0,0,0,459,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_194,27,0,75,0,0,0,0,0,0,131,266,176,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
ASV_195,0,200,36,0,0,0,30,100,0,0,0,0,0,0,0,0,47,89,93,38,0,0,0,0,0,0,72
ASV_196,0,0,0,0,75,210,29,45,31,0,0,0,0,15,5,26,43,49,0,0,0,52,36,52,21,0,13
ASV_197,0,0,0,0,0,0,89,70,71,0,0,0,0,0,0,110,51,73,0,0,0,0,0,0,202,0,36
ASV_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,141,199,184
ASV_199,0,16,8,0,4,45,35,108,124,291,18,30,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0
ASV_200,353,0,0,0,0,0,0,160,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_201,0,0,0,0,33,227,31,43,24,0,0,0,0,0,0,31,49,0,0,16,0,64,0,0,42,97,35
ASV_202,0,0,0,0,0,0,47,0,0,132,18,22,0,239,70,0,0,0,0,29,0,0,0,0,15,117,0
ASV_203,24,453,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,26,120,0,0,0,0,0,0,0,41
ASV_204,0,5,0,326,303,0,0,0,0,0,32,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ASV_205,0,0,0,120,33,0,0,0,0,135,152,198,0,0,7,0,0,36,4,0,0,0,0,0,0,0,0
ASV_206,18,23,443,0,0,0,0,0,0,54,37,39,0,0,0,0,0,0,0,12,55,0,0,0,0,0,0
ASV_207,0,0,0,0,0,0,0,9,31,413,63,106,0,0,0,0,0,0,28,18,0,0,0,0,0,12,0
ASV_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,310,201,0,0,0,53,39,51
ASV_209,188,237,179,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_210,0,15,0,0,0,12,40,88,25,0,0,0,0,0,0,0,47,66,34,0,0,0,0,0,28,203,111
ASV_211,0,249,23,0,0,0,0,45,86,0,0,0,0,0,0,0,109,0,54,0,0,0,0,0,0,0,102
ASV_212,0,0,0,0,0,0,0,99,0,33,111,0,0,0,0,34,33,192,0,55,16,0,0,0,29,0,65
ASV_214,0,0,0,0,0,0,0,0,0,128,126,300,0,0,0,0,0,0,0,43,5,0,0,0,16,46,0
ASV_216,0,0,0,0,0,0,0,0,0,201,272,68,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0
